idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
1451,219,3509244,Rudaki,Рудакинский,3509,RPP,Районы Республиканского по,TJK
423,115,3502221,Jilikul,Джиликульский,3502,Khatlon,Хатлонская,TJK
5058,130,1712234,Karmana,Карманинский,1712,Navoi,Навоийская,UZB
5075,147,1733226,Khiva,Хивинский,1733,Khorezm,Хорезмская,UZB
4993,65,1714237,Chust,Чустский,1714,Namangan,Наманганская,UZB
4950,22,1703224,Asaka,Асакинский,1703,Andijan,Андижанская,UZB
5127,199,1958207,Ordabasin,Ордабасынский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5197,269,1733217,Urgench,Ургенчский,1733,Khorezm,Хорезмская,UZB
2561,97,3509240,Gissar,Гиссарский,3509,RPP,Районы Республиканского по,TJK
5219,291,1727239,Ykarichirchik,Юкаричирчикский,1727,Tashkent region,Ташкентская,UZB
3442,54,1718206,Bulungur,Булунгурский,1718,Samarkand,Самаркандская,UZB
3533,145,1712251,Khatyrchi,Хатырчинский,1712,Navoi,Навоийская,UZB
4940,12,1703202,Altynkul,Алтынкульский,1703,Andijan,Андижанская,UZB
5105,177,1714204,Mingbulak,Мингбулакский,1714,Namangan,Наманганская,UZB
4981,53,1703237,Bulakbashi,Булакбашинский,1703,Andijan,Андижанская,UZB
5199,271,1727253,Urtachirchik,Уртачирчикский,1727,Tashkent region,Ташкентская,UZB
5079,151,3502219,Khuroson,Хуросонский,3502,Khatlon,Хатлонская,TJK
339,31,3909203,Bakher,Бахерденский,3909,Ahal,Ахалская,TKM
5091,163,1730206,Kushtepa,Куштепинский,1730,Fergana,Ферганская,UZB
556,248,3503209,Spitamen,Спитаменский,3503,Sogd,Согдийская,TJK
