idx,gid,rayon_id,rayon_en,rayon_ru,oblast_id,oblast_en,oblast_ru,country_id
4941,13,1722201,Altynsay,Алтынсайский,1722,Surkhandarya,Сурхандарьинская,UZB
4768,148,1703236,Khodjaabad,Ходжабадский,1703,Andijan,Андижанская,UZB
4994,66,1730236,Dangara,Дангаринский,1730,Fergana,Ферганская,UZB
5028,100,1733208,Gurlen,Гурленский,1733,Khorezm,Хорезмская,UZB
5564,20,1708201,Arnasay,Арнасайский,1708,Djizakh,Джизакская,UZB
5166,238,1708212,Sharaf Rashidov,Шараф Рашидовск,1708,Djizakh,Джизакская,UZB
58,58,3908234,Chardjov,Чарджевский,3908,Lebap,Лебапская,TKM
4934,6,1727206,Akkurgan,Аккурганский,1727,Tashkent region,Ташкентская,UZB
5165,237,1703230,Shakhrihan,Шахриханский,1703,Andijan,Андижанская,UZB
1261,29,5004001,Baghlan City,Baghlan City,5004,Baghlan,Baghlan,AFG
4953,25,3503212,B.Ghafurov,Б.Гафуровский,3503,Sogd,Согдийская,TJK
4524,212,5004007,Puli Khumri,Puli Khumri,5004,Baghlan,Baghlan,AFG
5204,276,1706212,Vabkent,Вабкентский,1706,Bukhara,Бухарская,UZB
5756,212,5004007,Puli Khumri,Puli Khumri,5004,Baghlan,Baghlan,AFG
4937,9,1706204,Alat,Алатский,1706,Bukhara,Бухарская,UZB
223,223,3908220,Sakar,Сакарский,3908,Lebap,Лебапская,TKM
5066,138,1735212,Kegeyli,Кегейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
5412,176,5006020,Mingajik,Mingajik,5006,Jawzjan,Jawzjan,AFG
4939,11,1730203,Altyaryk,Алтыарыкский,1730,Fergana,Ферганская,UZB
1255,23,3909201,Ashgabat,Ашгабатский,3909,Ahal,Ахалская,TKM
191,191,3907221,Niyazov,Ниязовский,3907,Mary,Марыйская,TKM
4983,55,1730212,Buvayda,Бувайдинский,1730,Fergana,Ферганская,UZB
103,103,3909202,Gyaver,Гяверсский,3909,Ahal,Ахалская,TKM
4956,28,1730209,Bagdad,Багадский,1730,Fergana,Ферганская,UZB
3068,296,1708220,Zarbdar,Зарбдарский,1708,Djizakh,Джизакская,UZB
5159,231,1724216,Sayhunabad,Сайхунабадский,1724,Sirdarya,Сырдарьинская,UZB
3152,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
5038,110,3503210,Istaravshan,Истаравшанский,3503,Sogd,Согдийская,TJK
5046,118,1706219,Kagan,Каганский,1706,Bukhara,Бухарская,UZB
127,127,1706220,Karaulbazar,Караулбазарский,1706,Bukhara,Бухарская,UZB
5074,146,1724235,Khavast,Хавастский,1724,Sirdarya,Сырдарьинская,UZB
4770,150,5001013,Khulm,Khulm,5001,Balkh,Balkh,AFG
4931,3,1718203,Akdarya,Акдарьинский,1718,Samarkand,Самаркандская,UZB
5145,217,1730224,Rishtan,Риштанский,1730,Fergana,Ферганская,UZB
4387,75,5001012,Dihdadi,Dihdadi,5001,Balkh,Balkh,AFG
4079,75,5001012,Dihdadi,Dihdadi,5001,Balkh,Balkh,AFG
5168,240,1733230,Shavat,Шаватский,1733,Khorezm,Хорезмская,UZB
3229,149,1735236,Khodjeyli,Ходжейлийский,1735,Karakalpakstan Republik,Республика Каракалпакстан,UZB
5190,262,1958246,Turkistan,Туркистан г.а.,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5201,273,1730230,Uzbekistan,Узбекистанский,1730,Fergana,Ферганская,UZB
3627,239,1958252,Shardara,Шардаринский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
2344,188,1714216,Naryn,Нарынский,1714,Namangan,Наманганская,UZB
5083,155,3503206,Konibodom,Канибадамский,3503,Sogd,Согдийская,TJK
2731,267,1714234,Uchkurgan,Учкурганский,1714,Namangan,Наманганская,UZB
4765,145,1712251,Khatyrchi,Хатырчинский,1712,Navoi,Навоийская,UZB
4871,251,1724231,Syrdarya,Сырдарьинский,1724,Sirdarya,Сырдарьинская,UZB
5032,104,3502227,Hamadoni,Хамадони,3502,Khatlon,Хатлонская,TJK
5523,287,1714242,Yangikurgan,Янгикурганский,1714,Namangan,Наманганская,UZB
380,72,5001011,Dawlat abad,Dawlat abad,5001,Balkh,Balkh,AFG
5161,233,1706258,Shafirkan,Шафирканский,1706,Bukhara,Бухарская,UZB
2640,176,5006020,Mingajik,Mingajik,5006,Jawzjan,Jawzjan,AFG
5216,288,1727259,Yangiyul,Янгиюльский,1727,Tashkent region,Ташкентская,UZB
5027,99,1724220,Gulistan,Гулистанский,1724,Sirdarya,Сырдарьинская,UZB
294,294,1708225,Zafarabad,Зафарабадский,1708,Djizakh,Джизакская,UZB
146,146,1724235,Khavast,Хавастский,1724,Sirdarya,Сырдарьинская,UZB
3647,259,3502233,Temurmalik,Темурмаликсикй,3502,Khatlon,Хатлонская,TJK
217,217,1730224,Rishtan,Риштанский,1730,Fergana,Ферганская,UZB
510,202,1718224,Paiaryk,Пайарыкский,1718,Samarkand,Самаркандская,UZB
4820,200,1958217,Otyrar,Отырарский район,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
1594,54,1718206,Bulungur,Булунгурский,1718,Samarkand,Самаркандская,UZB
25,25,3503212,B.Ghafurov,Б.Гафуровский,3503,Sogd,Согдийская,TJK
340,32,1708204,Bakhmal,Бахмальский,1708,Djizakh,Джизакская,UZB
2623,159,1722214,Kumkurgan,Кумкурганский,1722,Surkhandarya,Сурхандарьинская,UZB
151,151,3502219,Khuroson,Хуросонский,3502,Khatlon,Хатлонская,TJK
31,31,3909203,Bakher,Бахерденский,3909,Ahal,Ахалская,TKM
277,277,3509237,Vahdat,Вахдатский,3509,RPP,Районы Республиканского по,TJK
290,290,3906205,Yilan,Йыланлыйский,3906,Dashhovuz,Дашховузская,TKM
21,21,1958205,Arys,Арыс г.а.,1958,South-Kazakhstan,Южно-Казахстанская,KAZ
5851,307,1727237,Zangiata,Зангиатинский,1727,Tashkent region,Ташкентская,UZB
3338,258,3909208,Tedjen,Тедженский,3909,Ahal,Ахалская,TKM
205,205,3502231,Panj,Пянжский,3502,Khatlon,Хатлонская,TJK
